Date de début,Date de fin,Jour,kWh,Montant ($),Moyenne $/j,Moyenne kwh/j,Température moyenne (°C),Intervalle
2025-02-18,2025-04-15,47,6089,671.36,14.28,129.6,-3,2025-02-18 → 2025-04-15
2024-12-13,2025-02-17,67,12741,1437.42,21.45,190.2,-10,2024-12-13 → 2025-02-17
2024-10-17,2024-12-12,57,6298,682.87,11.98,110.5,3,2024-10-17 → 2024-12-12
2024-08-17,2024-10-16,61,4046,410.46,6.73,66.3,13,2024-08-17 → 2024-10-16
2024-06-15,2024-08-16,63,3014,285.43,4.53,47.8,19,2024-06-15 → 2024-08-16
2024-04-17,2024-06-14,59,3648,365.45,6.19,61.8,12,2024-04-17 → 2024-06-14
2024-02-16,2024-04-16,61,6660,704.6,11.55,109.2,-1,2024-02-16 → 2024-04-16
2023-12-15,2024-02-15,63,8107,865.1,13.73,128.7,-6,2023-12-15 → 2024-02-15
2023-10-18,2023-12-14,58,6037,631.74,10.89,104.1,0,2023-10-18 → 2023-12-14
2023-08-17,2023-10-17,62,3155,294.53,4.75,50.9,14,2023-08-17 → 2023-10-17
2023-06-15,2023-08-16,63,2831,256.01,4.06,44.9,19,2023-06-15 → 2023-08-16
2023-04-19,2023-06-14,57,3119,296.0,5.19,54.7,12,2023-04-19 → 2023-06-14
2023-02-16,2023-04-18,62,6629,679.9,10.97,106.9,-1,2023-02-16 → 2023-04-18
